catalogVersion	scenarioId	capabilityId	domain	name	tier	runtime	architecture	authorityLane	persistenceLane	setup	action	expected	refusal	evidenceFields	referenceTraceStatus	referenceTraceState	referenceTraceId	referenceTraceSource	repoExecutionStatus	repoAutomationStatus	repoEvidenceRefs	testKinds	architectureLegs	externalGates	claimBoundary	notes	repoEvidenceState	repoEvidenceReason
2.0.0-phase0.2	V2-FND-001-S011	DOC-03	document	Resolve generic base form with concrete derived form	A	net48	x64	ReadOnlyInspector	ReadOnly	DerivedForm inherits BaseForm<int> and has its own InitializeComponent	Open DerivedForm designer	Derived form opens using derived designer source and base metadata is read-only	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260821T124034Z-S011	docs/v2/reference-traces/VS18.7.11911.148-20260821T124034Z/V2-FND-001-S011/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host;e2e	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	Actual Visual Studio and the product both resolve the concrete GenericBaseForm<int> shape with inherited Label and derived Button. The net48 stale-base handshake now preserves concrete generic arguments, so the live product uses interpreted mode; the client comparison differs on only 113/64800 pixels (0.174383 percent, MAE 0.149388), within the frozen tolerance.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S012	DOC-03	document	Open proven empty Form without InitializeComponent	A	cross-runtime	cross-arch	ReadOnlyInspector	NoMutation	Buildable Form has exactly one empty Designer partial and no InitializeComponent or neutral resx	Open designer	A blank read-only design surface opens without changing source Designer or project and without synthesizing placeholder source	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260821T132217Z-S012	docs/v2/reference-traces/VS18.7.11911.148-20260821T132217Z/V2-FND-001-S012/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host	catalog-cross-arch;repo-functional	NONE	REPO_AUTOMATED	Actual Visual Studio Enterprise 2026 18.7 opens a blank design surface and preserves source Designer and project bytes; Save All creates a neutral resx. The product matches the bounded blank open on VS Code 1.84.0 and Stable 1.134.0, exposes a read-only root, refuses mutation, preserves all three input artifacts, and deliberately does not create a resx. Broader Visual Studio edit and save-generation parity remains unclaimed.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S013	SRF-01	surface	Render standard Button Text Image and FlatStyle	A	modern	x64	WorkerSupervisor	ReadOnly	Form contains Button with text image alignment and FlatStyle.Popup	Capture designer surface	Rendered bounds and visible state match reference tolerance	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.0-20260821T082946Z-S013	docs/v2/reference-traces/VS18.0-20260821T082946Z/V2-FND-001-S013/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;e2e	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	The modern product render now materializes the allowlisted SystemIcons.Information.ToBitmap image; the CI comparison hashes the archived VS input and measures the matching 360x180 client surface at 0/64800 different pixels on the capture host.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S014	SRF-01	surface	Render TextBox multiline scrollbars and border style	A	net48	x64	WorkerSupervisor	ReadOnly	Form contains multiline TextBox with vertical scrollbars and fixed single border	Capture designer surface	TextBox client area scrollbars and border match reference tolerance	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.0-20260821T082946Z-S014	docs/v2/reference-traces/VS18.0-20260821T082946Z/V2-FND-001-S014/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;e2e	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	The net48 interpreted product render clears transient host focus before capture; the CI comparison hashes the archived VS input and measures the matching 360x180 client surface at 0/64800 different pixels on the capture host.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S015	SRF-01	surface	Hit test overlapping labels by z order	A	modern	arm64	WorkerSupervisor	ReadOnly	Two Labels overlap and have different TabIndex and z order	Click the overlapping pixel	Selection target is the top z-order label	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260823T003946Z-S015	docs/v2/reference-traces/VS18.7.11911.148-20260823T003946Z/V2-FND-001-S015/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;webview	catalog-arm64;physical-arm64-gated;repo-functional	ARM64_HARDWARE	REPO_AUTOMATED	Actual Visual Studio Enterprise 2026 18.7 x64 opens a supported net10.0-windows form with two Labels at the exact same 158x46 accessible bounds, clicks the center of their shared rectangle through the real InputShield/capture HWND, and exposes Text=Top z-order in the native Properties grid for the first Controls.Add sibling at WinForms z-order index 0. Source SHA-256 28e5e38f6e07d4a1716c2f4ce63b34d1d638204e438519c0ce7ea4327bedbf85, Designer SHA-256 13bf49f557caf3c0ea2a4361caebc32de3e07b30639746038d74450ed2a171aa, and project SHA-256 a6c6eeb100f8038132dd69dcc556b43f5fb54463794986e148a9317fe8bf748a remain byte-identical; screenshot SHA-256 is b63e7abb10791952eb565c6547dbfd3e6d06f12a383048297d3090859012eb49. Repository unit/webview evidence covers matching WinForms z-order sorting and top-label selection; physical ARM64 remains external.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S016	SRF-01	performance	Render 300-control form within frozen budget	A	cross-runtime	cross-arch	WorkerSupervisor	ReadOnly	Form contains 300 mixed standard controls at 100 percent DPI	Capture preview and publish canvas revision	Initial capture preview commit and reconciliation timings stay within catalog budget	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host	catalog-cross-arch;catalog-x64;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE;PERFORMANCE_LAB	REPO_AUTOMATED	Real x64 CustomEditor runs on VS Code 1.84.0 and 1.134.0 render 300 mixed standard controls through modern and net48 with 301 layout nodes; frozen initial <=5000ms and commit/reconciliation <=500ms gates pass, same-snapshot Properties and native Undo are exact, and disk stays byte-identical; actual Visual Studio reference trace, physical cross-architecture execution, and external performance-lab p95 remain external	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S017	SRF-02	surface	Mouse marquee selects intersecting controls inside same container	A	modern	x64	CommandPlanner	NoMutation	Panel contains four child Buttons and form contains two outside Buttons	Drag marquee across two fully enclosed Panel children and one partially intersected child	All intersecting direct children of the active Panel are selected while same-Panel nonintersecting and Form-level controls remain unselected	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260824T072607Z-S017	docs/v2/reference-traces/VS18.7.11911.148-20260824T072607Z/V2-FND-001-S017/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	webview;e2e	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	Actual Visual Studio Enterprise 2026 18.7 selects all three intersecting direct children of the active Panel, including the partially intersected Button; a reversible Copy/Paste probe duplicates exactly those three Text identities, excludes the same-Panel nonintersecting and Form-level controls, and leaves the marquee/Copy source bytes exact. The native Undo restores the original semantic shape while the modern CodeDOM serializer only reorders component blocks. Repo webview evidence now uses the same intersection rule and active-container boundary.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S018	SRF-02	accessibility	Keyboard traversal moves selection through nested controls	A	modern	x64	CommandPlanner	NoMutation	GroupBox contains TextBox Button CheckBox with form-level siblings	Use Tab and Shift+Tab traversal, then Escape parent selection	Selection follows WinForms TabIndex order and focus rectangle is visible	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	webview;e2e	catalog-x64;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE;ACCESSIBILITY_AT	REPO_AUTOMATED	Repo webview evidence covers nested WinForms TabIndex traversal and focus rectangle; Visual Studio reference and assistive-tech acceptance remain external	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S019	SRF-02	surface	Ctrl click toggles multi-selection without losing primary	A	net48	x64	CommandPlanner	NoMutation	Form contains three selectable controls	Select first then Ctrl-click second and third	Primary selection and multi-selection set match Visual Studio reference	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	webview;e2e	catalog-x64;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	Repo webview evidence covers primary anchor retention and deterministic primary replacement; Visual Studio reference trace remains external	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S020	SRF-02	recovery	Stale canvas click is ignored after newer revision	A	cross-runtime	cross-arch	CommandPlanner	NoMutation	Canvas revision 10 is visible but revision 11 is pending before input	Click control and press keyboard selection/nudge commands from stale revision	Mouse and keyboard input are rejected until the newer generation is drawn	STALE_CANVAS	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	extension-host;webview;e2e	catalog-cross-arch;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	The real CustomEditor advances a genuine fullRender from generation N to N+1, then the host-authoritative generation gate rejects stale click and keyboard-nudge intents as STALE_CANVAS on modern and compiled-net48 sessions without changing selection, Designer text, dirty state, native history, or disk hashes. A fresh N+1 pick resumes normally on VS Code 1.84.0 and 1.134.0; the actual Visual Studio reference trace remains external.	MEASURED_SUFFICIENT	NONE
